0,肖申克的救赎,希望让人自由。
1,霸王别姬,风华绝代。
2,这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。
3,阿甘正传,一部美国近现代史。
4,美丽人生,最美的谎言。
5,泰坦尼克号,失去的才是永恒的。 
6,千与千寻,最好的宫崎骏，最好的久石让。 
7,辛德勒的名单,拯救一个人，就是拯救整个世界。
8,盗梦空间,诺兰给了我们一场无法盗取的梦。
9,机器人总动员,小瓦力，大人生。
10,忠犬八公的故事,永远都不能忘记你所爱的人。
11,三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。
12,海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
13,放牛班的春天,天籁一般的童声，是最接近上帝的存在。 
14,大话西游之大圣娶亲,一生所爱。
15,楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。
16,龙猫,人人心中都有个龙猫，童年就永远不会消失。
17,星际穿越,爱是一种力量，让我们超越时空感知它的存在。
18,教父,千万不要记恨你的对手，这样会让你失去理智。
19,熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
20,无间道,香港电影史上永不过时的杰作。
21,当幸福来敲门,平民励志片。 
22,疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
23,触不可及,满满温情的高雅喜剧。
24,怦然心动,真正的幸福是来自内心深处。
25,乱世佳人,Tomorrow is another day.
26,蝙蝠侠：黑暗骑士,无尽的黑暗。
27,活着,张艺谋最好的电影。
28,天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
29,少年派的奇幻漂流,瑰丽壮观、无人能及的冒险之旅。
30,鬼子来了,对敌人的仁慈，就是对自己残忍。
31,十二怒汉,1957年的理想主义。 
32,指环王3：王者无敌,史诗的终章。
33,控方证人,比利·怀德满分作品。
34,天空之城,对天空的追逐，永不停止。 
35,搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
36,飞屋环游记,最后那些最无聊的事情，才是最值得怀念的。 
37,大话西游之月光宝盒,旷古烁今。
38,摔跤吧！爸爸,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
39,罗马假日,爱情哪怕只有一天。
40,哈尔的移动城堡,带着心爱的人在天空飞翔。
41,窃听风暴,别样人生。
42,闻香识女人,史上最美的探戈。
43,辩护人,电影的现实意义大过电影本身。
44,两杆大烟枪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
45,飞越疯人院,自由万岁。
46,死亡诗社,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
47,V字仇杀队,一张面具背后的理想与革命。
48,指环王2：双塔奇兵,承前启后的史诗篇章。
49,教父2,优雅的孤独。
50,海豚湾,海豚的微笑，是世界上最高明的伪装。
51,指环王1：魔戒再现,传说的开始。
52,饮食男女,人生不能像做菜，把所有的料都准备好了才下锅。
53,美丽心灵,爱是一切逻辑和原由。
54,素媛,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
55,情书,暗恋的极致。
56,末代皇帝,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
57,狮子王,动物版《哈姆雷特》。
58,钢琴家,音乐能化解仇恨。
59,美国往事,往事如烟，无处祭奠。
60,小鞋子,奔跑的孩子是天使。
61,本杰明·巴顿奇事,在时间之河里感受溺水之苦。
62,七宗罪,警察抓小偷，老鼠玩死猫。
63,致命魔术,孪生蝙蝠侠大战克隆金刚狼。
64,被嫌弃的松子的一生,以戏谑来戏谑戏谑。
65,西西里的美丽传说,美丽无罪。
66,黑客帝国,视觉革命。
67,看不见的客人,你以为你以为的就是你以为的。
68,让子弹飞,你给我翻译翻译，神马叫做TMD的惊喜。
69,拯救大兵瑞恩,美利坚精神输出大片No1.
70,音乐之声,用音乐化解仇恨，让歌声串起美好。
71,天使爱美丽,法式小清新。 
72,大闹天宫,经典之作，历久弥新。
73,低俗小说,故事的高级讲法。
74,哈利·波特与魔法石,童话世界的开端。
75,勇敢的心,史诗大片的典范。
76,剪刀手爱德华,浪漫忧郁的成人童话。
77,沉默的羔羊,安东尼·霍普金斯的顶级表演。
78,蝴蝶效应,人的命运被自己瞬间的抉择改变。
79,春光乍泄,爱情纠缠，男女一致。
80,心灵捕手,人生中应该拥有这样的一段豁然开朗。
81,寻梦环游记,死亡不是真的逝去，遗忘才是永恒的消亡。
82,猫鼠游戏,骗子大师和执著警探的你追我跑故事。 
83,入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
84,布达佩斯大饭店,小清新的故事里注入了大历史的情怀。
85,禁闭岛,昔日翩翩少年，今日大腹便便。
86,幽灵公主,人与自然的战争史诗。
87,阳光灿烂的日子,一场华丽的意淫。
88,玛丽和马克思,你是我最好的朋友，你是我唯一的朋友 。
89,第六感,深入内心的恐怖，出人意料的结局。
90,穿条纹睡衣的男孩,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
91,重庆森林,寂寞没有期限。
92,狩猎,人言可畏。
93,致命ID,最不可能的那个人永远是最可能的。
94,断背山,每个人心中都有一座断背山。
95,加勒比海盗,约翰尼·德普的独角戏。
